url,status,country,coordinates,wayback_url,is_live,url_validation
https://mlcommons.org/en/,403,,,,False,ok
http://bigg.ucsd.edu/,405,,,,False,ok
http://haedat.iode.org/,200,,,,True,ok
https://github.com/microsoft/MPNet,200,,,,True,review
https://www.gardenofwales.org.uk/science/barcode-uk,404,,,,False,ok
https://comptox.epa.gov/dashboard/chemical-lists/PFASMASTER,200,,,,True,ok
https://skins.cellatlas.io/,"HTTPSConnectionPool(host='skins.cellatlas.io', port=443): Max retries exceeded with url: / (Caused b",,,,False,ok
https://www.ecn.ac.uk/data,200,,,,True,ok
https://pave.niaid.nih.gov/,200,,,,True,ok
https://ndkp.hugeamp.org/,200,,,,True,ok
https://davidbioinformatics.nih.gov,200,,,,True,ok
https://www.addgene.org/,200,,,,True,ok
http://www.moonlightingproteins.org,200,,,,True,ok
https://gold.jgi.doe.gov/,200,,,,True,ok
https://github.com/faezrah/PROBE,404,,,,False,review
https://github.com/zheng-xin-zhang/LSCIDMR,404,,,,False,review
https://osf.io/35tbw/,200,,,,True,ok
http://tumor.informatics.jax.org/,200,,,,True,ok
https://jrdb.cvcv.hanyang.edu.kr/,"HTTPSConnectionPool(host='jrdb.cvcv.hanyang.edu.kr', port=443): Max retries exceeded with url: / (Ca",,,,False,ok
https://intenzydb.accre.vanderbilt.edu,502,,,,False,ok
https://rvdb.dbi.udel.edu/,200,,,,True,ok
http://bioinfo.life.hust.edu.cn/liverdb,"HTTPConnectionPool(host='bioinfo.life.hust.edu.cn', port=80): Max retries exceeded with url: /liverd",,,,False,ok
https://www.arb-silva.de/,200,,,,True,ok
https://qdr.syr.edu/,200,,,,True,ok
https://www.floraweb.de/,200,,,,True,ok
https://brcaexchange.org/,200,,,,True,ok
https://www.mirbase.org/,200,,,,True,ok
https://github.com/Fabian-St/ANNOgesic,404,,,,False,review
https://github.com/kullrich/hyganno,404,,,,False,review
https://zenodo.org/record/7765173,404,,,,False,ok
https://pubs.acs.org/doi/10.1021/acs.jcim.0c01053,403,,,,False,ok
https://www.ncbi.nlm.nih.gov/bioproject/PRJNA763768,200,,,,True,ok
http://www.deduct.in/,406,,,,False,ok
https://bugsigdb.org/,200,,,,True,ok
https://www.ukbiobank.ac.uk,403,,,,False,ok
http://www.pdbbind.org.cn/,"HTTPConnectionPool(host='www.pdbbind.org.cn', port=80): Max retries exceeded with url: / (Caused by ",,,,False,ok
https://www.i2b2.org,200,,,,True,ok
https://obgp.org/,200,,,,True,ok
https://pharos.nih.gov/,403,,,,False,ok
http://lmc.uab.es/tmsnp/,200,,,,True,ok
http://dbaasp.org,403,,,,False,ok
https://cmnpd.org/,200,,,,True,ok
http://www.yapcwsoft.com/dd/padeldescriptor/,"HTTPConnectionPool(host='www.yapcwsoft.com', port=80): Max retries exceeded with url: /dd/padeldescr",,,,False,ok
http://alma.inaf.cl/en/home/,"HTTPConnectionPool(host='alma.inaf.cl', port=80): Max retries exceeded with url: /en/home/ (Caused b",,,,False,ok
https://www.ebi.ac.uk/intact/,200,,,,True,ok
https://www.ecotoxxplorer.ca/,200,,,,True,ok
https://ourworldindata.org/covid-vaccinations,200,,,,True,ok
https://github.com/CamoEvo,404,,,,False,review
https://friendsofcancerresearch.org/tmb/,200,,,,True,ok
http://bamboo.bamboogdb.org/,"HTTPConnectionPool(host='bamboo.bamboogdb.org', port=80): Max retries exceeded with url: / (Caused b",,,,False,ok
https://www.ebsco.com/products/research-databases/cinahl-database,200,,,,True,ok
https://seer.cancer.gov/data/,200,,,,True,ok
https://www.boldsystems.org/,200,,,,True,ok
https://www.maizegdb.org/snpversity,200,,,,True,ok
https://cppsite.org/,"HTTPSConnectionPool(host='cppsite.org', port=443): Max retries exceeded with url: / (Caused by NameR",,,,False,ok
https://www.linkedin.com/,200,,,,True,ok
https://github.com/open-data-lab/psc-adapt,404,,,,False,review
https://github.com/thunlp/FewRel,200,,,,True,review
https://embryo.helmholtz-munich.de/shiny_embryo/,"HTTPSConnectionPool(host='embryo.helmholtz-munich.de', port=443): Max retries exceeded with url: /sh",,,,False,ok
https://github.com/jtamames/SqueezeMeta,200,,,,True,review
https://www.healthtalk.org/,403,,,,False,ok
https://www.plantrdnadatabase.com/,200,,,,True,ok
https://adiposetissue.org/,200,,,,True,ok
https://www.hartwigmedicalfoundation.nl/en/data/,200,,,,True,ok
http://lcdb.biocuckoo.org/,"HTTPConnectionPool(host='lcdb.biocuckoo.org', port=80): Max retries exceeded with url: / (Caused by ",,,,False,ok
https://www.ebi.ac.uk/biostudies/MicrobioRaman,200,,,,True,ok
https://www.oglcnac.mcw.edu/,"HTTPSConnectionPool(host='www.oglcnac.mcw.edu', port=443): Max retries exceeded with url: / (Caused ",,,,False,ok
http://www.cancer-genetics.org/VHL.htm,200,,,,True,ok
http://www.om-db.wi.tum.de/psplib/,200,,,,True,ok
https://github.com/ShuheiHori/HLA-HD,404,,,,False,review
https://ebrains.eu/service/mouse-brain-atlas,404,,,,False,ok
http://www.mz.usp.br/,200,,,,True,ok
https://doi.org/10.1038/s41597-020-00726-7,404,,,,False,ok
https://www.epo.org/searching-for-patents.html,200,,,,True,ok
https://riceome.hzau.edu.cn/,403,,,,False,ok
https://anzup.org.au,403,,,,False,ok
https://nmrshiftdb.nmr.uni-koeln.de/,"HTTPSConnectionPool(host='nmrshiftdb.nmr.uni-koeln.de', port=443): Max retries exceeded with url: / ",,,,False,ok
https://topmed.nhlbi.nih.gov/,200,,,,True,ok
http://pathoyeastract.org,200,,,,True,ok
https://laulab.bu.edu/msrg/,"HTTPSConnectionPool(host='laulab.bu.edu', port=443): Max retries exceeded with url: /msrg/ (Caused b",,,,False,ok
https://outbreak.info/,200,,,,True,ok
http://www.ivenomdb.org/,"HTTPConnectionPool(host='www.ivenomdb.org', port=80): Max retries exceeded with url: / (Caused by Na",,,,False,ok
http://bioinfo.ihb.ac.cn/fishget,200,,,,True,ok
https://mof.tech.northwestern.edu/,500,,,,False,ok
https://data.mendeley.com/datasets/8f5t6t72p3/1,200,,,,True,ok
https://cengen.org/,200,,,,True,ok
https://github.com/comp-bio/SWaveform,200,,,,True,review
http://qphos.cancerbio.info/,200,,,,True,ok
https://dbaasp.org/,403,,,,False,ok
