extracted_name,baseline_name,match_type,is_match,score,reasoning,extracted_long,extracted_url,extracted_domain,baseline_url,baseline_domain,same_domain,edit_distance,url_similarity,confidence
ComPIL,comppi,edit_dist=2,N,0.5,Score=0.5: edit_dist=2,Comprehensive Metaproteomics Database,,,http://ComPPI.LinkGroup.hu,linkgroup.hu,False,2.0,0.0,LOW
ToxoDB,toxindb,edit_dist=2,N,0.5,Score=0.5: edit_dist=2,Toxoplasma Genomics Database,,,http://www.rxnfinder.org/toxindb,rxnfinder.org,False,2.0,0.0,LOW
JCGGDB,jcdb,edit_dist=2,N,0.5,Score=0.5: edit_dist=2,Japan Glycobiology Database,,,http://jcdb.xtbg.ac.cn,ac.cn,False,2.0,0.0,LOW
CpGDB,cpgr,edit_dist=2,N,0.5,Score=0.5: edit_dist=2,Chloroplast Genomes Database,,,http://cpgr.plantbiology.msu.edu,msu.edu,False,2.0,0.0,LOW
RTPDB,rtfadb,edit_dist=2,N,0.5,Score=0.5: edit_dist=2,Radiotherapy Prognosis Database,,,http://tools.ibg.deu.edu.tr/rtfa,edu.tr,False,2.0,0.0,LOW
MycoDB,mycorrdb,edit_dist=2,N,0.5,Score=0.5: edit_dist=2,Mycorrhizal Response Database,,,http://mycorrdb.uohbif.in,uohbif.in,False,2.0,0.0,LOW
BIONDA,bind,edit_dist=2,N,0.5,Score=0.5: edit_dist=2,Biomarker Database,http://bionda.mpc.ruhr-uni-bochum.de,ruhr-uni-bochum.de,http://download.baderlab.org/BINDTranslation,baderlab.org,False,2.0,0.12,LOW
MDAD,mdb,edit_dist=2,N,0.5,Score=0.5: edit_dist=2,Microbe-Drug Association Database,,,http://csc.columbusstate.edu/carroll/MDB,columbusstate.edu,False,2.0,0.0,LOW
Vaxjo,vaxar,edit_dist=2,N,0.5,Score=0.5: edit_dist=2,vaccine adjuvant database,,,http://www.violinet.org/vaxar,violinet.org,False,2.0,0.0,LOW
CASTp,cath,edit_dist=2,N,0.5,Score=0.5: edit_dist=2,computed atlas of surface topography of proteins,http://sts.bioe.uic.edu/castp/,uic.edu,http://www.cathdb.info,cathdb.info,False,2.0,0.18,LOW
CCHIC,ccsi,edit_dist=2,N,0.5,Score=0.5: edit_dist=2,Critical Care Health Informatics Collaborative,,,http://songyanglab.sysu.edu.cn/ccsi,edu.cn,False,2.0,0.0,LOW
lncSLdb,lncedb,edit_dist=2,N,0.5,Score=0.5: edit_dist=2,Long Non-Coding RNA Subcellular Localization Database,,,http://gyanxet-beta.com/lncedb,gyanxet-beta.com,False,2.0,0.0,LOW
dGCR,dgv,edit_dist=2,N,0.5,Score=0.5: edit_dist=2,Database of Gene Co-Regulation,,,http://gph.niid.go.jp/geograph/dengue/content/genomemap,go.jp,False,2.0,0.0,LOW
PI1M,pina,edit_dist=2,N,0.5,Score=0.5: edit_dist=2,Polymer Informatics Database,,,http://cbg.garvan.unsw.edu.au/pina,edu.au,False,2.0,0.0,LOW
CUBAP,cuas,edit_dist=2,N,0.5,Score=0.5: edit_dist=2,Codon Usage Bias Analysis Portal,https://cubap.byu.edu,byu.edu,http://cmb.bnu.edu.cn/alt_iso/index.php,edu.cn,False,2.0,0.51,LOW
PCIR,pcpd,edit_dist=2,N,0.5,Score=0.5: edit_dist=2,Plant Chloroplast Inverted Repeats database,,,http://p450.biodesign.ac.cn,ac.cn,False,2.0,0.0,LOW
BioTIME,bioimg,edit_dist=2,N,0.5,Score=0.5: edit_dist=2,biodiversity time series database,,,http://bioimg.org,bioimg.org,False,2.0,0.0,LOW
Circbank,circbase,edit_dist=2,N,0.5,Score=0.5: edit_dist=2,comprehensive circRNA database,http://www.circbank.cn,circbank.cn,http://www.circbase.org,circbase.org,False,2.0,0.61,LOW
PamulDB,pamirdb,edit_dist=2,N,0.5,Score=0.5: edit_dist=2,Pasteurella multocida genomic resource database,,,http://bioinfo.icgeb.res.in/pamirdb,res.in,False,2.0,0.0,LOW
IRAM,ird,edit_dist=2,N,0.5,Score=0.5: edit_dist=2,virus capsid database,,,http://www.fludb.org,fludb.org,False,2.0,0.0,LOW
GenDiS,gendr,edit_dist=2,N,0.5,Score=0.5: edit_dist=2,protein domain superfamilies database,,,http://genomics.senescence.info/diet,senescence.info,False,2.0,0.0,LOW
ProMEX,prime,edit_dist=2,N,0.5,Score=0.5: edit_dist=2,mass spectral reference database for plant proteomics,,,http://prime.psc.riken.jp,riken.jp,False,2.0,0.0,LOW
CEEDER,cendr,edit_dist=2,N,0.5,Score=0.5: edit_dist=2,evidence reviews database,http://www.environmentalevidence.org/ceeder,environmentalevidence.org,http://www.elegansvariation.org,elegansvariation.org,False,2.0,0.38,LOW
