extracted_name,baseline_name,match_type,is_match,score,reasoning,extracted_long,extracted_url,extracted_domain,baseline_url,baseline_domain,same_domain,edit_distance,url_similarity,confidence
Cardiomyocyte 2D Database,morusdb,SAME_DOMAIN,Y,2.0,Score=2.0: SAME_DOMAIN,Neonatal Rat Cardiomyocyte Proteome Database,http://2d.bjmu.edu.cn,edu.cn,http://morus.swu.edu.cn/morusdb,edu.cn,True,21.0,0.47,HIGH
MoSys,commode,SAME_DOMAIN,Y,2.0,Score=2.0: SAME_DOMAIN,Molecular Systems Biology Platform,http://www.univie.ac.at/mosys/databases.html,ac.at,http://commode.i-med.ac.at,ac.at,True,6.0,0.31,HIGH
BCAPE,memprotmd,SAME_DOMAIN,Y,2.0,Score=2.0: SAME_DOMAIN,Breast Cancer Patient-Derived Explants,http://caldaslab.cruk.cam.ac.uk/bcape,ac.uk,http://memprotmd.bioch.ox.ac.uk,ac.uk,True,8.0,0.3,HIGH
Diatom Portal,mediadb,SAME_DOMAIN,Y,2.0,Score=2.0: SAME_DOMAIN,Diatom Transcriptome Portal,http://networks.systemsbiology.net/diatom-portal/,systemsbiology.net,http://mediadb.systemsbiology.net,systemsbiology.net,True,12.0,0.6,HIGH
Parkinson's Disease DNA Variant Browser,linps,SAME_DOMAIN,Y,2.0,Score=2.0: SAME_DOMAIN,Parkinson's Disease DNA Variant Browser,https://pdgenetics.shinyapps.io/VariantBrowser/,shinyapps.io,http://mahshaaban.shinyapps.io/LINPSAPP,shinyapps.io,True,36.0,0.46,HIGH
VariSNP,varibench,SAME_DOMAIN,Y,2.0,Score=2.0: SAME_DOMAIN,VariSNP Benchmark Database,http://structure.bmc.lu.se/VariSNP,lu.se,"http://structure.bmc.lu.se/VariBench/, http://structure.bmc.lu.se/VariBench",lu.se,True,4.0,0.55,HIGH
Plant IsomiR Atlas,ddtrp,SAME_DOMAIN,Y,2.0,Score=2.0: SAME_DOMAIN,Plant IsomiR Atlas,http://www.mcr.org.in/isomir,org.in,http://bmi.icmr.org.in/DDTRP,org.in,True,16.0,0.63,HIGH
PharmMapper,morusdb,SAME_DOMAIN,Y,2.0,Score=2.0: SAME_DOMAIN,Target Pharmacophore Database,http://lilab.ecust.edu.cn/pharmmapper/,edu.cn,http://morus.swu.edu.cn/morusdb,edu.cn,True,10.0,0.41,HIGH
AlzPlatform,stemcellckb,SAME_DOMAIN,Y,2.0,Score=2.0: SAME_DOMAIN,Alzheimer Disease Chemogenomics Knowledgebase,http://www.cbligand.org/AD/,cbligand.org,http://www.cbligand.org/StemCellCKB,cbligand.org,True,11.0,0.67,HIGH
IS-Dom,oryzapg,SAME_DOMAIN,Y,2.0,Score=2.0: SAME_DOMAIN,Independent Structural Domains Dataset,http://domserv.lab.tuat.ac.jp/IS-Dom.html,ac.jp,http://oryzapg.iab.keio.ac.jp,ac.jp,True,7.0,0.43,HIGH
C-It-Loci,renaldb,SAME_DOMAIN,Y,2.0,Score=2.0: SAME_DOMAIN,Context-specific Tissue-enriched Loci Database,http://c-it-loci.uni-frankfurt.de,uni-frankfurt.de,http://renaldb.uni-frankfurt.de,uni-frankfurt.de,True,8.0,0.72,HIGH
GPCR-HetNet,odcs,SAME_DOMAIN,Y,2.0,Score=2.0: SAME_DOMAIN,G Protein-Coupled Receptor Heterodimer Network,http://www.iiia.csic.es/~ismel/GPCR-Nets/index.html,csic.es,http://csbg.cnb.csic.es/odcs,csic.es,True,10.0,0.4,HIGH
COMBAT-TB-NeoDB,hcvpro,SAME_DOMAIN,Y,2.0,Score=2.0: SAME_DOMAIN,Computational Biology and Mycobacterial Tuberculosis Neo4j Database,https://neodb.sanbi.ac.za,ac.za,"http://apps.sanbi.ac.za/hcvpro/, http://cbrc.kaust.edu.sa/hcvpro",ac.za,True,14.0,0.32,HIGH
FusionHub,swmd,SAME_DOMAIN,Y,2.0,Score=2.0: SAME_DOMAIN,Gene Fusion Hub,https://fusionhub.persistent.co.in,co.in,http://www.swmd.co.in,co.in,True,8.0,0.39,HIGH
UCbase,mdp,SAME_DOMAIN,Y,2.0,Score=2.0: SAME_DOMAIN,Ultraconserved Sequences Database,http://ucbase.unimore.it,unimore.it,http://mdp.unimore.it,unimore.it,True,6.0,0.71,HIGH
miRSystem,ym500,SAME_DOMAIN,Y,2.0,Score=2.0: SAME_DOMAIN,MicroRNA System,http://mirsystem.cgm.ntu.edu.tw/,edu.tw,http://ngs.ym.edu.tw/ym500,edu.tw,True,8.0,0.37,HIGH
DMTO,phare-kb,SAME_DOMAIN,Y,2.0,Score=2.0: SAME_DOMAIN,Diabetes Mellitus Treatment Ontology,http://bioportal.bioontology.org/ontologies/DMTO,bioontology.org,http://purl.bioontology.org/ontology/PHARE,bioontology.org,True,8.0,0.74,HIGH
ClimCKmap,mu3d,SAME_DOMAIN,Y,2.0,Score=2.0: SAME_DOMAIN,Climate Italian Fauna Distribution Map,http://hdl.handle.net/21.11125/a91f85cb-befd-4e14-8e83-24f17c4a0491,handle.net,http://hdl.handle.net/2374.MIA/6067,handle.net,True,8.0,0.43,HIGH
mds_ies_db,immunet,SAME_DOMAIN,Y,2.0,Score=2.0: SAME_DOMAIN,Macronuclear Destined Sequence Internally Eliminated Sequence Database,http://oxytricha.princeton.edu/mds_ies_db,princeton.edu,http://immunet.princeton.edu,princeton.edu,True,9.0,0.55,HIGH
Badger,memprotmd,SAME_DOMAIN,Y,2.0,Score=2.0: SAME_DOMAIN,Bacterial and Archaeal Database with Genome Exploration Resource,http://badger.bio.ed.ac.uk/,ac.uk,http://memprotmd.bioch.ox.ac.uk,ac.uk,True,9.0,0.56,HIGH
HCOP,hgnc,SAME_DOMAIN,Y,2.0,Score=2.0: SAME_DOMAIN,HGNC Comparison of Orthology Predictions,https://vertebrate.genenames.org,genenames.org,http://www.genenames.org,genenames.org,True,3.0,0.7,HIGH
Pogona Genome,agriseqdb,SAME_DOMAIN,Y,2.0,Score=2.0: SAME_DOMAIN,Australian Dragon Lizard Genome Database,https://genomics.canberra.edu.au,edu.au,http://expression.latrobe.edu.au/agriseqdb,edu.au,True,11.0,0.41,HIGH
lncRNA-disease association resource,synbiolgdb,SAME_DOMAIN,Y,2.0,Score=2.0: SAME_DOMAIN,lncRNA-Disease Association Database,http://asdcd.amss.ac.cn/Software/Details/2,ac.cn,http://bioinformatics.ac.cn/synbiolgdb,ac.cn,True,32.0,0.39,HIGH
CoffeebEST,btoxdb,SAME_DOMAIN,Y,2.0,Score=2.0: SAME_DOMAIN,Coffee Expressed Sequence Tag Database,http://bioinfo-02.cp.utfpr.edu.br/,edu.br,http://www.gurupi.uft.edu.br/btoxdb,edu.br,True,9.0,0.44,HIGH
imiRTP,morusdb,SAME_DOMAIN,Y,2.0,Score=2.0: SAME_DOMAIN,Arabidopsis miRNA-Target Prediction Database,http://admis.fudan.edu.cn/projects/imiRTP.htm,edu.cn,http://morus.swu.edu.cn/morusdb,edu.cn,True,6.0,0.45,HIGH
