extracted_name,baseline_name,match_type,is_match,score,reasoning,extracted_long,extracted_url,extracted_domain,baseline_url,baseline_domain,same_domain,edit_distance,url_similarity,confidence
SNENGS,tbpp,SAME_DOMAIN,Y,2.0,Score=2.0: SAME_DOMAIN,Suprachiasmatic Nucleus Expression in the Nervous and Glandular System,https://snengs.nichd.nih.gov,nih.gov,http://TBPortals.niaid.nih.gov,nih.gov,True,6.0,0.6,HIGH
Colombia_geometrid,florabank1,SAME_DOMAIN,Y,2.0,Score=2.0: SAME_DOMAIN,Colombian Geometrid Moth Database,https://www.gbif.org/,gbif.org,"http://data.gbif.org/datasets/resource/10969/, http://projects.biodiversity.be/ifblAll",gbif.org,True,15.0,0.18,HIGH
Togo_herbarium,florabank1,SAME_DOMAIN,Y,2.0,Score=2.0: SAME_DOMAIN,Togo National Herbarium Database,https://www.gbif.org/dataset/b05dd467-aaf8-4c67-843c-27f049057b78,gbif.org,"http://data.gbif.org/datasets/resource/10969/, http://projects.biodiversity.be/ifblAll",gbif.org,True,11.0,0.3,HIGH
Bradyrhizobium_MLSA,plantannot,SAME_DOMAIN,Y,2.0,Score=2.0: SAME_DOMAIN,Bradyrhizobium MLSA Database,http://mlsa.cnpso.embrapa.br,embrapa.br,http://www.machado.cnptia.embrapa.br/plantannot,embrapa.br,True,17.0,0.6,HIGH
CGHub,gtrnadb,SAME_DOMAIN,Y,2.0,Score=2.0: SAME_DOMAIN,Cancer Genomics Hub,https://cghub.ucsc.edu,ucsc.edu,http://gtrnadb.ucsc.edu,ucsc.edu,True,6.0,0.73,HIGH
SpliceAid,metatropismdb,SAME_DOMAIN,Y,2.0,Score=2.0: SAME_DOMAIN,human splicing factors expression database,http://www.introni.it/spliceaid.html,introni.it,http://www.introni.it/Metastasis/metastasis.html,introni.it,True,11.0,0.68,HIGH
FG_mosquito,florabank1,SAME_DOMAIN,Y,2.0,Score=2.0: SAME_DOMAIN,French Guiana Mosquito Database,http://www.gbif.org/dataset/5a8aa2ad-261c-4f61-a98e-26dd752fe1c5,gbif.org,"http://data.gbif.org/datasets/resource/10969/, http://projects.biodiversity.be/ifblAll",gbif.org,True,10.0,0.27,HIGH
GeneBase,bologna annotation resource,SAME_DOMAIN,Y,2.0,Score=2.0: SAME_DOMAIN,gene datasets summary database,http://apollo11.isto.unibo.it/software/,unibo.it,http://bar.biocomp.unibo.it/bar3,unibo.it,True,22.0,0.5,HIGH
GWIPS-viz,darned,SAME_DOMAIN,Y,2.0,Score=2.0: SAME_DOMAIN,Genome-Wide Information on Protein Synthesis Visualizer,http://gwips.ucc.ie,ucc.ie,http://darned.ucc.ie,ucc.ie,True,9.0,0.56,HIGH
VivaxGEN,agriseqdb,SAME_DOMAIN,Y,2.0,Score=2.0: SAME_DOMAIN,Plasmodium vivax genotyping platform,http://vivaxgen.menzies.edu.au,edu.au,http://expression.latrobe.edu.au/agriseqdb,edu.au,True,9.0,0.38,HIGH
MMPdb,rna structurome database,SAME_DOMAIN,Y,2.0,Score=2.0: SAME_DOMAIN,Mitochondrial Matrix Proteome Database,https://mmpdb.eeob.iastate.edu/,iastate.edu,http://structurome.bb.iastate.edu,iastate.edu,True,21.0,0.62,HIGH
WheatD_SNP,i5k,SAME_DOMAIN,Y,2.0,Score=2.0: SAME_DOMAIN,Wheat D Genome SNP Database,http://avena.pw.usda.gov/wheatD/agsnp.shtml,usda.gov,http://i5k.nal.usda.gov,usda.gov,True,10.0,0.42,HIGH
ASPIREdb,davie,SAME_DOMAIN,Y,2.0,Score=2.0: SAME_DOMAIN,Phenome-Genome database,http://aspiredb.chibi.ubc.ca,ubc.ca,http://echelon.cmmt.ubc.ca/dbaccess,ubc.ca,True,6.0,0.41,HIGH
MENGO,expresso,SAME_DOMAIN,Y,2.0,Score=2.0: SAME_DOMAIN,Methane Network Gene Ontology,http://www.mengo.biochem.vt.edu/,vt.edu,http://bioinformatics.cs.vt.edu/expresso,vt.edu,True,6.0,0.42,HIGH
BetaLactamaseDB,transcriptomebrowser,SAME_DOMAIN,Y,2.0,Score=2.0: SAME_DOMAIN,Beta-Lactamase Database,http://ifr48.timone.univ-mrs.fr/beta-lactamase/public/,univ-mrs.fr,http://tagc.univ-mrs.fr/tbrowser,univ-mrs.fr,True,16.0,0.48,HIGH
ALE-HSA21,camurweb,SAME_DOMAIN,Y,2.0,Score=2.0: SAME_DOMAIN,Analysis of Expression on human chromosome 21,http://bioinfo.na.iac.cnr.it/ALE-HSA21,cnr.it,http://bioinformatics.iasi.cnr.it/camurweb,cnr.it,True,9.0,0.64,HIGH
dbTF,memprotmd,SAME_DOMAIN,Y,2.0,Score=2.0: SAME_DOMAIN,Database of Transcription Factors,https://www.ebi.ac.uk/QuickGO/targetset/dbTF,ac.uk,http://memprotmd.bioch.ox.ac.uk,ac.uk,True,8.0,0.32,HIGH
AQUA-MER,besc,SAME_DOMAIN,Y,2.0,Score=2.0: SAME_DOMAIN,Aqueous Mercury Speciation Database,https://aquamer.ornl.gov,ornl.gov,http://besckb.ornl.gov,ornl.gov,True,8.0,0.65,HIGH
Allen Developing Mouse Brain Atlas,allen brain atlas,SAME_DOMAIN,Y,2.0,Score=2.0: SAME_DOMAIN,Developing Mouse Brain Atlas,http://developingmouse.brain-map.org,brain-map.org,http://www.brain-map.org,brain-map.org,True,17.0,0.62,HIGH
GeneTribe,mesocosm,SAME_DOMAIN,Y,2.0,Score=2.0: SAME_DOMAIN,Triticeae Genome Tribe,https://chenym1.github.io/genetribe/,github.io,http://aliayadi.github.io/MESOCOSM-database,github.io,True,8.0,0.44,HIGH
Virtual Pharmacist,pathppi,SAME_DOMAIN,Y,2.0,Score=2.0: SAME_DOMAIN,Pharmacogenomics Platform,http://www.sustc-genome.org.cn/vp,org.cn,http://proteomeview.hupo.org.cn/PathPPI/PathPPI.html,org.cn,True,15.0,0.42,HIGH
CMMR,hippdb,SAME_DOMAIN,Y,2.0,Score=2.0: SAME_DOMAIN,Comparative Microbial Modules Resource,http://meatwad.bio.nyu.edu/cmmr.html,nyu.edu,"http://www.nyu.edu/projects/arora/hippdb, http://code.google.com/p/helidb",nyu.edu,True,6.0,0.31,HIGH
Wheat_D_markers,i5k,SAME_DOMAIN,Y,2.0,Score=2.0: SAME_DOMAIN,Wheat D Genome Marker Resource,http://probes.pw.usda.gov/ATRJM/,usda.gov,http://i5k.nal.usda.gov,usda.gov,True,14.0,0.5,HIGH
HydDB,lotus base,SAME_DOMAIN,Y,2.0,Score=2.0: SAME_DOMAIN,Hydrogenase Database,http://services.birc.au.dk/hyddb/,au.dk,http://lotus.au.dk,au.dk,True,9.0,0.39,HIGH
ComplexPortal,memprotmd,SAME_DOMAIN,Y,2.0,Score=2.0: SAME_DOMAIN,Complex Portal,http://www.ebi.ac.uk/complexportal,ac.uk,http://memprotmd.bioch.ox.ac.uk,ac.uk,True,9.0,0.38,HIGH
AnatomyTagger,memprotmd,SAME_DOMAIN,Y,2.0,Score=2.0: SAME_DOMAIN,Anatomy Tagger,http://nactem.ac.uk/anatomytagger,ac.uk,http://memprotmd.bioch.ox.ac.uk,ac.uk,True,12.0,0.32,HIGH
